file_name,title,author,spotify_song_id,artist_name_db,track_name_db,summary,similarity_score,section_snapshot,opensong_source_path
emmanuel i2641,Emmanuel,Hillsong,,Hillsong Worship,Emmanuel,OpenSong comparison found a low similarity in chorus (similarity 0.17) for this likely matching song.,0.17,db_chorus=1 5 1 5 4 1 4 5 1 5 1 5 4 1 4 5 1 5 1 5 4 1 4 5 1 5 1 5 4 1 4 5 1 5 1 5 4 1 4 5 1 5 1 5 4 1 4 5 6m 1 4 5 | opensong_chorus=2m 5 1 4 5 2m 5 1 4 5 6m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\emmanuel i2641
endless alleluia i48810,Endless Alleluia,Cory Asbury,,Cory Asbury,Endless Alleluia,OpenSong comparison found a low similarity in chorus (similarity 0.05) for this likely matching song.,0.05,db_chorus=b3 4 5m b7 b3 4 5m b7 b3 4 5m b7 b3 4 5m b7 b3 4 5m b7 b3 4 5m b7 b3 4 5m b7 b3 4 5m 4 b7 b3 4 5m 4 b7 | opensong_chorus=4 5 6m 1 4 5 6m 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\endless alleluia i48810
energy i46307,Energy,Hillsong Young & Free,,Hillsong Young & Free,Energy,OpenSong comparison found a low similarity in bridge (similarity 0.29) for this likely matching song.,0.29,db_bridge=1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 1 2m 6m 4 4 5 6m 1 4 5 6m 1 | opensong_bridge=1 2m 6m 1 2m 6m 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\energy i46307
enough i5011,Enough,"Chris Tomlin, Louie Giglio",,Chris Tomlin,Enough,OpenSong full progression differs strongly from current canonical progression (similarity 0.27).,0.27,db_reference=1 4 5 4 1 4 5 4 1 4 5 4 1 4 5 4 1 1 4 5 4 | opensong_full=1 4 b6 1 4 2m b6 1 4 b6 1 4 2m b6 1 4 b6 1 4 2m b6 1 4 b6 1 4 2m b6 1 4 b6 4 1 4 b6 4 1 4 b6 4 1 4 b6 4 1 1 4 b6 4 1 4 b6 1 4 b6 4 1 4 b6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\enough i5011
ever be i9407,Ever Be,Bethel Music,,Bethel Music,Ever Be,OpenSong comparison found a low similarity in chorus (similarity 0.40) for this likely matching song.,0.40,db_chorus=4 1 5 2m 4 1 6m 5 4 1 6m 5 1 6m 3m 4 4 1 5 2m | opensong_chorus=4 1 6m 5 4 1 6m 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\ever be i9407
everlasting god i88,Everlasting God,"Brenton Brown, Ken Riley, Chris Tomlin",1cUyNauQChHpZm4RIe2Yuy,Chris Tomlin,Everlasting God,OpenSong full progression differs strongly from current canonical progression (similarity 0.00).,0.00,db_reference=5 1 6m 2 1 5 1 6m 2 1 5 6m 4 1 5 | opensong_full=b6 7 b2 7 b6 7 b2 b2 4m b3 b2 4m b3 b6 b6 b2 4m b2 b6 b2 4m b2 b6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\everlasting god i88
every giant will fall i110013,Every Giant Will Fall,"Rend Collective, Projekt INSIDE",2EeCxglAQ4XK0IwuqjvRwj,Rend Collective,Every Giant Will Fall,OpenSong comparison found a low similarity in verse (similarity 0.33) for this likely matching song.,0.33,db_verse=6m 4 1 6m 4 1 6m 4 1 4 6m 5 | opensong_verse=4 1 4 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\every giant will fall i110013
every move i make i1943,Every move I make,David Ruis,56kRqrelE17UlT0VQOKDTd,David Crowder Band,Every Move I Make,OpenSong comparison found a low similarity in chorus (similarity 0.18) for this likely matching song.,0.18,db_chorus=1 4 5 4 | opensong_chorus=1 2m 3m 4 1 2m 3m 4 1 2m 3m 4 1 2m 3m 4 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\every move i make i1943
everyday i3289,Everyday,Joel Houston,,Joel Houston,Everyday,OpenSong comparison found a low similarity in bridge (similarity 0.38) for this likely matching song.,0.38,db_bridge=2 5 1 3m 2 2 5 1 3m 2 2 5 1 3m 2 | opensong_bridge=1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 6m 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\everyday i3289
everything and nothing less i46638,Everything and Nothing Less,Jesus Culture,,Jesus Culture,Everything And Nothing Less,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=1 6m 5 | opensong_chorus=b6 1m b7 b6 1m b7 b3 1m b7 b3 1m b7,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\everything and nothing less i46638
everything to me i1851,Everything To Me,Hillsong,,Hillsong,Everything To Me,OpenSong full progression differs strongly from current canonical progression (similarity 0.09).,0.09,db_reference=1 5 6m 4 | opensong_full=1 5 4 1 5 6m 4 1 5 6m 4 1 5 1 5 4 1 5 6m 4 1 5 6m 4 1 5 1 5 6m 4 1 1 5 4 6m 5 1 1 5 6m 6m 4 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\everything to me i1851
extravagant i48992,Extravagant,Bethel Music,,Bethel Music,Extravagant,OpenSong comparison found a low similarity in bridge (similarity 0.14) for this likely matching song.,0.14,db_bridge=2 3 3 2 3 4 5 | opensong_bridge=6 7 7 6 7 1 2,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\extravagant i48992
facing a task unfinished i102262,Facing a Task Unfinished,"KEITH GETTY, KRISTYN GETTY, Ed Cash",,Keith Getty,Facing A Task Unfinished,OpenSong comparison found a low similarity in chorus (similarity 0.30) for this likely matching song.,0.30,db_chorus=5 1 5 1 4 5 3m 6m 2m 5 1 5 1 5 1 4 5 3m 6m 2m 5 1 5 1 5 1 4 5 3m 6m 2m 5 1 5 1 5 1 4 5 3m 6m 2m 5 1 | opensong_chorus=5 4 1 5 4 1 4 5 3m 6m 2m 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\facing a task unfinished i102262
fear not i48474,Fear Not,Chris Tomlin,,Chris Tomlin,Fear Not,OpenSong full progression differs strongly from current canonical progression (similarity 0.28).,0.28,db_reference=4m b2 b6 b3 4m b2 b6 | opensong_full=4m b2 b6 b3 4m b2 b6 b3 b7 4m b2 b6 b3 4m b2 b6 4m b7 b2 b6 b3 4m b2 b6 b3,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\fear not i48474
fierce i46651,Fierce,Jesus Culture,,Jesus Culture,Fierce,OpenSong full progression differs strongly from current canonical progression (similarity 0.28).,0.28,db_reference=1 5 3m 2 1 5 3m 2 | opensong_full=1 5 3m b3 1 5 3m b3 1 5 3m b3 1 5 3m b3 1 5 2 3m b3 1 5 2 3m b3 1 3m 2,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\fierce i46651
first i46354,First,Lauren Daigle,,Lauren Daigle,First,OpenSong comparison found a low similarity in bridge (similarity 0.50) for this likely matching song.,0.50,db_bridge=4 1 5 4 1 5 4 1 5 4 1 5 | opensong_bridge=1 4m 5 1 4m 5 1 4m 5 1 1 4m 5 5 1 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\first i46354
for the one i48419,For the One,Brian Johnson & Jenn Johnson,,Brian & Jenn Johnson,For The One,OpenSong full progression differs strongly from current canonical progression (similarity 0.27).,0.27,db_reference=4 5 1 4 5 1 5 4 5 6m 4 5 1 | opensong_full=1 4 5 1 4 5 4 5 1 1 4 5 1 4 5 1 4 5 1 4 5 1 4 5 1 5 4 5 4 5 1 5 5 1 4 5 1 4 5 1 4 5 1 4 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\for the one i48419
for the sake of the world i47944,For the Sake of the World,Bethel Music,,Bethel Music,For The Sake Of The World,OpenSong comparison found a low similarity in chorus (similarity 0.12) for this likely matching song.,0.12,db_chorus=1 4 1 4 6m 4 1 5 1 4 1 4 6m 4 1 5 | opensong_chorus=1 b2 1 6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\for the sake of the world i47944
for who you are i1841,For who you are,Hillsong,,Hillsong United,For Who You Are,OpenSong comparison found a low similarity in bridge (similarity 0.25) for this likely matching song.,0.25,db_bridge=1 5 4 1 1 5 4 1 1 5 4 1 | opensong_bridge=1 6m 5 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\for who you are i1841
foreverandever etc i42103,Foreverandever Etc..,"David Crowder, Jack Parker, Mike Dodson",,David Crowder Band,Foreverandever Etc.,OpenSong full progression differs strongly from current canonical progression (similarity 0.06).,0.06,db_reference=1 4 6m 4 | opensong_full=1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 1 4 1 4 1 4 1 4 5 4 5 6m 5 5 2 4 2 6 5 2 1 2m 2 5 4 2 5 2 6m 5 2 1 2m 6m 4 1 5 4 1 2m 1 4 6m 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\foreverandever etc i42103
fresh wind i104649,Fresh Wind,Hillsong Worship,,Hillsong,Fresh Wind,OpenSong full progression differs strongly from current canonical progression (similarity 0.32).,0.32,db_reference=4 6m 1 5 4 6 6m 1 5 4 1 5 6m 4 1 5 4 1 5 6m 4 1 5 | opensong_full=b2 b2 b6 5 6m b2 b2 b6 5 b6 b2 b2 b6 5 6m b2 b2 5 b2 b2 b7 b6 5 6m b2 b2 5 b2 b2 b6 5 6m b2 b2 5 b2 b2 b6 5 6m b2 b2 5 4 6m 1 5 1 4 6 6m 1 5 1 4 6 6m 1 5 1 4 6 6m 1 5 4 6m 1 5 4 6m 1 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\fresh wind i104649
friend i48635,Friend,Jonathan Ogden,6C16lIeFuJAtjTMb5IQwtY,Jonathan Ogden,Friend,OpenSong comparison found a low similarity in bridge (similarity 0.03) for this likely matching song.,0.03,db_bridge=4 5 6m 1/3 4 5 1/3 6m 5 4 5 6m 1/3 4 5 1/3 6m 5 4 5 | opensong_bridge=1 2 3m 1 2 3m 2 1 2 3m 1 2 3m 2 1 2 1 2 3m 1 2 3m 2 1 2 3m 1 2 3m 2 1 2 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\friend i48635
from the inside out i2285,From the Inside Out,"Joel Houston, Hillsong",,Joel Houston,From The Inside Out,OpenSong comparison found a low similarity in chorus (similarity 0.29) for this likely matching song.,0.29,db_chorus=4 1 6m 5 4 6m 5 2m 6m 4 1 5 6m 4 1 5 1 4 5 6m 4 5 4 5 4 1 6m 5 4 6m 5 2m 4 5 6m 4 1 5 6m 4 1 5 1 4 5 6m 4 5 4 5 4 5 4 5 4 | opensong_chorus=6m 4 1 5 6m 4 1 5 1 4 5 6m 4 5 4 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\from the inside out i2285
fullness i47543,Fullness,Elevation Worship,,Elevation Worship,Fullness,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 1 1 | opensong_chorus=b7 b3 b6 1m b7 b3 b6 b3 b7 b3 b6 1m b7 b3 b6 b3 b3 b7 b3 b6 1m b7 b3 b6 b3 b7 b3 b6 1m b7 b3 b6 1m b7 b3 b6 1m b7 b3 b6 b3 b7 b3 b6 1m b7 b3 b6 b3 b3 b3 b3,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\fullness i47543
fullness of god i48406,Fullness of God,Rivers & Robots,4EAlaU8lAMHPFyctvTl5bn,Rivers & Robots,Fullness of God,OpenSong comparison found a low similarity in bridge (similarity 0.30) for this likely matching song.,0.30,db_bridge=2m 4 2m 4 6m 5 6m 5 2m 4 2m 4 6m 5 6m 5 4 5 1/3 6m | opensong_bridge=4 4 6m 5 6m 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\fullness of god i48406
give me jesus i42113,Give Me Jesus,Jeremy Camp,4wWPjMdb7owUVi5S43yFtJ,Jeremy Camp,Give Me Jesus,OpenSong comparison found a low similarity in verse (similarity 0.27) for this likely matching song.,0.27,db_verse=3m 1 5 3m 6 1 5 | opensong_verse=1 5 6m 4 1 5 6m 6m 4 1 5 1 6m 6m 6m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\give me jesus i42113
give us clean hands i42115,Give Us Clean Hands,Charlie Hall,,Charlie Hall,Give Us Clean Hands,OpenSong comparison found a low similarity in chorus (similarity 0.36) for this likely matching song.,0.36,db_chorus=1 5 6m 5 4 | opensong_chorus=1 5 6m 5 1 1 5 2 6m 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\give us clean hands i42115
glory come down i47499,Glory come down,Jesus Culture,,Jesus Culture,Glory Come Down,OpenSong full progression differs strongly from current canonical progression (similarity 0.07).,0.07,db_reference=2m 4 1 5 2m 4 1 5 | opensong_full=2 5 2 5 6 6 5 2 6 5 2 6 3m 5 2 6 3m 5 2 6 3m 5 7m 6 3m 5 2 6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\glory come down i47499
glory i1881,Glory,Hillsong,,Hillsong United,Glory,OpenSong comparison found a low similarity in pre_chorus (similarity 0.09) for this likely matching song.,0.09,db_pre_chorus=4 1 6m 5 4 1 2 2 4 1 6m 4 6m 5 1 4 1 4 1 4 6m 4 | opensong_pre_chorus=b3 b7 5m 4 b3 b7 1 b3,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\glory i1881
go tell it on the mountain i7371,Go Tell it on the Mountain,"John W. Work, Jr.",,John W. Work III,Go Tell it on the Mountain,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=1 5 1 1 5 1 1 5 1 5 5 1 5 1 1 5 1 | opensong_chorus=6 3 6 3 6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\go tell it on the mountain i7371
god almighty i42126,God Almighty,"Chris Tomlin, Ed Cash",,Chris Tomlin,God Almighty,OpenSong comparison found a low similarity in chorus (similarity 0.50) for this likely matching song.,0.50,db_chorus=1 4 6m 4 1 4 5 1 4 6m 4 1 4 5 4 1 4 5 4 1 4 5 | opensong_chorus=1 2m 1 4 1 4 b6 1 2m 1 4 6m 1 4 b6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\god almighty i42126
god is on the move i47430,God is on the move,7eventh Time Down,72aVbNngCMhTFl31ydjHCG,7eventh Time Down,God Is on the Move,OpenSong comparison found a low similarity in verse (similarity 0.22) for this likely matching song.,0.22,db_verse=4 1 5 4 1 5 4 1 5 | opensong_verse=1 5 2,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\god is on the move i47430
god so loved i48150,God So Loved,"Marty Sampson, Matt Crocker, Hillsong Worship",,Hillsong Worship,God So Loved,OpenSong comparison found a low similarity in chorus (similarity 0.23) for this likely matching song.,0.23,db_chorus=1 4 1 1 4 5 6m 4 1 5 6m 4 b6 5 1 1 4 1 1 4 5 6m 4 1 5 6m 4 b6 5 1 1 4 1 1 4 5 6m 4 1 5 6m 4 b6 5 1 1 4 1 1 4 5 6m 4 1 5 6m 4 b6 5 1 | opensong_chorus=1 4 1 1 4 5 6m 4 1 5 6m 4 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\god so loved i48150
grace like a wave i46952,Grace Like a Wave,Elevation Worship,,Elevation Worship,Grace Like A Wave,OpenSong full progression differs strongly from current canonical progression (similarity 0.34).,0.34,db_reference=1 2 3m 5 1 1 2 3m 5 1 1 2 3m 5 1 1 1 2 3m 5 1 1 2 3m 5 1 1 2 3m 5 1 1 2 3m 5 1 | opensong_full=1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 3m 5 1 1 1 2 5 1 1 2 5 1 1 1 2 5 1 1 2 5 1 1 2 3m b3 5 1 1 2 3m b3 5 1 1 2 3m b3 5 1 1 2 3m b3 5 1 1 2 3m b3 5 1 1 2 3m b3 5 1 1 2 3m 3m 1 2 5 1 1 2 3m 1 b3 2 5 1 2 3m 1 b3 2 5 1 2 3m 1 b3 2 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\grace like a wave i46952
grace like rain i42138,Grace Like Rain,"Todd Agnew, Chris Collins, Edwin O. Excell, John Newton",6NeFueFBB1O0r3H8B9R7yG,Todd Agnew,Grace Like Rain,OpenSong comparison found a low similarity in verse (similarity 0.32) for this likely matching song.,0.32,db_verse=6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 | opensong_verse=6m 4 1 5 6m 4 1 5 4 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 #4 6m 4 1 5 6m 4 1 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\grace like rain i42138
grace on top of grace i90809,Grace On Top Of Grace,Fellowship Creative,,Fellowship Creative,Grace On Top of Grace,OpenSong comparison found a low similarity in pre_chorus (similarity 0.00) for this likely matching song.,0.00,db_pre_chorus=1 4 1 1 | opensong_pre_chorus=4m b6 b7m b6 4m b6 b2 b6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\grace on top of grace i90809
graves into gardens i97155,Graves into Gardens,Elevation Worship,,Elevation Worship,Graves into Gardens,OpenSong comparison found a low similarity in bridge (similarity 0.16) for this likely matching song.,0.16,db_bridge=1 4 1 4 1 6m 4 1 1 4 1 4 1 6m 4 1 6m 4 1 | opensong_bridge=5 1 5 1 5 3m 1 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\graves into gardens i97155
great are you lord i49144,Great Are You Lord,"David Leonard, Sons and Daughters",,All Sons & Daughters,Great Are You Lord,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=4 6m 5 4 6m 5 | opensong_chorus=1 3m 2 1 3m 2,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\great are you lord i49144
great is your faithfulness i49069,Great Is Your Faithfulness,Martin Smith,,Martin Smith,Great Is Your Faithfulness,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=4 5 4 5 1 2m 1 5 2m 1 4 1 5 1 2m 1 5 2m 1 4 2m 5 | opensong_chorus=b6 b7 b6 b7 b3 4m b3 b7 4m b3 b6 b3 b7 b3 4m b3 b7 4m b3 b6 4m b7,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\great is your faithfulness i49069
greater than all other names i48417,Greater Than All Other Names,Brian Johnson & Jenn Johnson,,Brian & Jenn Johnson,Greater Than All Other Names,OpenSong full progression differs strongly from current canonical progression (similarity 0.11).,0.11,db_reference=4 1 6m 5 4 6m 5 4 1 6m 5 4 6m 5 | opensong_full=4 1 b7 2m 1 b7 2m 1 4 1 b7 2m 1 4m b7 2m 1 b7 4 2m 1 b7 2m 1 b7 4 2m 1 b7 2m 1 4m 4 1 b7 2m 1 4m b7 2m 1 b7 2m 1 2m 4 b7 2m 1 2m 4 b7 2m 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\greater than all other names i48417
hallelujah i1840,Hallelujah,Hillsong,,Hillsong United,Hallelujah,OpenSong full progression differs strongly from current canonical progression (similarity 0.08).,0.08,db_reference=1 6m 4 1 5 | opensong_full=b2 1 1 1 6m 6m 6m 6m 4 1 b6 5 b2 1 1 1 6m 6m 6m 6m 4 1 b6 5 5 4 1 5 4 1 5 4 6m 4 5 1 6m 4 1 5 5 4 1 5 1 5 4 6m 4 5 1 6m 4 1 5 1 6m 4 1 5 1 5m 4 1 5m 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\hallelujah i1840
hands and feet i42145,Hands and Feet,Audio Adrenaline,,Audio Adrenaline,Hands And Feet,OpenSong comparison found a low similarity in chorus (similarity 0.43) for this likely matching song.,0.43,db_chorus=1 5 2m 4 2m 5 1 4 2m 5 1 5 2m 5 2m 5 2m 5 4 1 5 2m 4 | opensong_chorus=1 1 1 1 1 1 2m 5 1 5 4 2m 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\hands and feet i42145
happy song i142,Happy Song,"SMITH MARTIN JAMES, Delirious?, Martin Smith",,Martin Smith,Happy Song,OpenSong full progression differs strongly from current canonical progression (similarity 0.34).,0.34,db_reference=1 5 5 6m 4 1 5 5 6m 4 | opensong_full=1 5 4 1 5 1 5 #4 1 b6 5 1 5 6m 4 1 5 2 6m 4 4 1 4 1 2m 4 2m 4 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\happy song i142
he is yahweh i42153,He Is Yahweh,Dean Salyn,,Dean Salyn,He Is Yahweh,OpenSong comparison found a low similarity in bridge (similarity 0.18) for this likely matching song.,0.18,db_bridge=4 5 4 5 | opensong_bridge=4 5 1 5 6m 5 4 5 6m 4 4 5 1 5 6m 5 #4 4 5 4 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\he is yahweh i42153
he knows i46640,He Knows,Jeremy Camp,1sglby2dgYxUyca0wcBRhw,Jeremy Camp,He Knows,OpenSong comparison found a low similarity in bridge (similarity 0.50) for this likely matching song.,0.50,db_bridge=5 6m 4 5 6m 5/7 | opensong_bridge=6m 4 6m 4,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\he knows i46640
healer i1883,Healer,"Hillsong, Kari Jobe",,Kari Jobe,Healer,OpenSong full progression differs strongly from current canonical progression (similarity 0.34).,0.34,db_reference=2 3m 4 2 4 5 1 6m 4 1 6m 5 4 5 6m 5 1 4 5 6m 5 | opensong_full=1 4 5 1 1 5 6m 4 5 2m 3m 4 2m 4 5 1 6m 5 4 5 6m 5 1 6m 5 4 5 4 6m 5 6m 5 5 5 1 5 4 6m 5 1 5 4 6m 5 6m 5 1 6m 5 1 6m 5 1 4 6m 5,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\healer i1883
heart like heaven i45596,Heart Like Heaven,Hillsong United,,Hillsong Worship,Heart Like Heaven,OpenSong comparison found a low similarity in chorus (similarity 0.17) for this likely matching song.,0.17,db_chorus=4 6m 5 1 4 6m 5 1 4 6m 5 1 4 1 b2 1 5 6m 4 1 5 6m 1 4 5 1 4 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 1 b2 1 5 6m 4 1 5 6m 4 1 b2 1 5 6m 4 1 5 6m 1 4 5 1 4 4 6m 5 1 4 1 b2 1 5 6m 4 1 5 6m 4 1 b2 1 5 6m 4 1 5 6m 4 1 b2 1 5 6m 4 1 5 6m 4 1 b2 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 5 6m 4 1 | opensong_chorus=1 3m 2 5 1 3m 2 5 1 3m 2 5 1 5 2 3m 1 5 2 3m 5 1 2 5 1 1 3m 2 5 1 3m 2 5 1 3m 2 5 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\heart like heaven i45596
heaven came down i42160,Heaven Came Down,"John Peterson, David Crowder",,David Crowder Band,Heaven came down,OpenSong comparison found a low similarity in chorus (similarity 0.20) for this likely matching song.,0.20,db_chorus=6 5 5 6m 4 5 6m 6 6 6 6 1 5 6 5 4 1 5 5 6m 4 6m 6 5 5 1 5 6m 4 6 5 5 6m 4 5 6m 6 6 6 6 1 5 6 5 4 1 5 5 6m 4 5 6m 6 5 5 1 5 6m 4 6 5 5 6 6 6 6 1 5 6 5 4 1 5 5 6 4 5 6m 6 5 5 1 5 6m 4 1 5 | opensong_chorus=6m 4 5 6m 4 5 6m 4 5 1 5 4 1 6m 4 5 6m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\heaven came down i42160
here again i105926,Here again,Elevation Worship,,Elevation Worship,Here Again,OpenSong full progression differs strongly from current canonical progression (similarity 0.10).,0.10,db_reference=1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 | opensong_full=1 2m b7 1 2m b7 1 2m b7 1 2m b7 1 2m b7 4 1 2m b7 4 1 2m b7 1 2m b7 1 2m b7 b3 1 2m b7 1 2m b7 1 2m b7 4 1 2m b7 4 1 2m b7 4 1 2m 1 b7 4 1 2 2m 1 b7 4 1 2m 1 b7 4 1 2m 1 b7 4 1 2m b7 4 1 2m b7 4 1 2m 1 b7 4 1 2 2m 1 b7 4 1 2m 1 b7 4 1 2 2m 1 b7 4 1 2m 1 b7 4 1 2 2m 1 b7 4 4 1 2m 1 b7,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\here again i105926
here as in heaven i46779,Here As In Heaven,Elevation Worship,,Elevation Worship,Here As In Heaven,OpenSong full progression differs strongly from current canonical progression (similarity 0.16).,0.16,db_reference=1 3m 2 1 3m 2 | opensong_full=1 5 2 1 5 2 1 5 2 5 2 1 5 2 2 5 2 1 5 2 5 2 1 3m 2 1 3m 2 1 2 3m 2 1 2 3m 2 b3,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\here as in heaven i46779
here i bow i48959,Here I Bow,Jenn Johnson,,Brian & Jenn Johnson,Here I Bow,OpenSong comparison found a low similarity in chorus (similarity 0.27) for this likely matching song.,0.27,db_chorus=1 2 3m 1 2 5 1 2 3m 1 2 1 5 1 5 1 2 3m 1 2 5 1 2 3m 1 2 1 5 1 5 1 2 3m 1 2 5 1 2 3m 1 2 1 5 1 5 | opensong_chorus=1 2 3m 1 2 5 1 2 3m 1 2 5 1m,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\here i bow i48959
here is our king i42165,Here Is Our King,David Crowder,,David Crowder,Here Is Our king,OpenSong comparison found a low similarity in bridge (similarity 0.33) for this likely matching song.,0.33,db_bridge=6m 5 1 2m 1 4 5 | opensong_bridge=6m 5 1 2m 1 4 6m 5 1 2m 1 4 5 6m 5 1 4 6m 5 4 1,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\here is our king i42165
here with you i46465,Here With You,Hillsong Worship,,Hillsong Worship,Here With You,OpenSong full progression differs strongly from current canonical progression (similarity 0.00).,0.00,db_reference=1 2 3m 2 5 1 2 3m 2 5 1 2 3m 2 5 1 2 3m 2 5 1 2 3m 2 5 1 2 3m 2 5 | opensong_full=1m b3 b7 4 1m b3 b7 4 1m b3 b7 1m b3 b7 4 b3 4 5m b7 b3 4 5m b7 1m b3 b7 4 b3 4 5m b7 b3 4 5m b7 b3 4 5m b7 b3 4 5m b7 1m b3 b7 4 1m b3 b7 4 1m 5m b3 b7 4 1m b3 b7,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\here with you i46465
heroes i48462,Heroes,Amanda Cook,,Amanda Cook,Heroes,OpenSong comparison found a low similarity in chorus (similarity 0.00) for this likely matching song.,0.00,db_chorus=2m 6m 4 2m 6m 4 6m 5 1 b2 1 4 5 1 6m 5 1 b2 1 4 5 1 2m 6m 4 2m 6m 4 | opensong_chorus=4m 1m b6 4m 1m b6 1m b7 b3 3 b3 b6 b7 b3 1m b7 b3 3 b3 b6 b7 b3 4m 1m b6 4m 1m b6,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\heroes i48462
